,Unnamed: 0,title,startYear,tconst,titleType,runtimeMinutes,genres,averageRating,numVotes,ordering,region,language,primaryName,birthYear,deathYear,primaryProfession
2438,2151,Héros ou salopards,1980,tt0080310,movie,107.0,"Drama,History,War",7.8,12187.0,2.0,FR,\N,Bruce Beresford,1940,\N,"director,producer,writer"
2439,2320,Tendre bonheur,1983,tt0086423,movie,92.0,"Drama,Music",7.4,9549.0,26.0,FR,\N,Bruce Beresford,1940,\N,"director,producer,writer"
2440,2626,Miss Daisy et son chauffeur,1989,tt0097239,movie,99.0,Drama,7.3,100513.0,6.0,FR,\N,Bruce Beresford,1940,\N,"director,producer,writer"
2441,2713,Robe Noire,1991,tt0101465,movie,101.0,"Adventure,Drama,History",7.1,6536.0,10.0,FR,\N,Bruce Beresford,1940,\N,"director,producer,writer"
2442,5442,Mr. Church,2016,tt4196848,movie,104.0,"Comedy,Drama",7.7,26149.0,4.0,FR,\N,Bruce Beresford,1940,\N,"director,producer,writer"
2443,2158,Bye Bye Brasil,1980,tt0080482,movie,100.0,Drama,7.4,1542.0,1.0,FR,\N,Carlos Diegues,1940,\N,"producer,director,writer"
2444,2159,Le golf en folie !,1980,tt0080487,movie,98.0,"Comedy,Sport",7.3,106053.0,23.0,FR,\N,Harold Ramis,1944,2014,"writer,actor,producer"
2445,2309,Bonjour les vacances,1983,tt0085995,movie,98.0,"Adventure,Comedy",7.4,98542.0,30.0,FR,\N,Harold Ramis,1944,2014,"writer,actor,producer"
2446,2855,Un jour sans fin,1993,tt0107048,movie,101.0,"Comedy,Fantasy,Romance",8.0,583736.0,20.0,FR,\N,Harold Ramis,1944,2014,"writer,actor,producer"
2447,2161,Nashville Lady,1980,tt0080549,movie,124.0,"Biography,Drama,Music",7.5,16899.0,13.0,FR,\N,Michael Apted,1941,2021,"director,producer,miscellaneous"
2448,2166,Star Wars: Épisode V - L'Empire contre-attaque,1980,tt0080684,movie,124.0,"Action,Adventure,Fantasy",8.7,1170739.0,26.0,FR,\N,Irvin Kershner,1923,2010,"director,cinematographer,actor"
2449,2169,Galaxy Express 999,1979,tt0080772,movie,129.0,"Action,Adventure,Animation",7.4,1888.0,8.0,FR,\N,Rintaro,1941,\N,"director,art_department,animation_department"
2450,2172,L'exorciste chinois,1980,tt0080827,movie,102.0,"Action,Comedy,Fantasy",7.1,1897.0,10.0,FR,\N,Sammo Kam-Bo Hung,1952,\N,"actor,stunts,producer"
2451,2290,Prodigal Son,1981,tt0085211,movie,104.0,"Action,Comedy",7.5,2962.0,2.0,FR,\N,Sammo Kam-Bo Hung,1952,\N,"actor,stunts,producer"
2452,2352,Soif de justice,1984,tt0087578,movie,108.0,"Action,Comedy,Crime",7.2,12101.0,35.0,FR,\N,Sammo Kam-Bo Hung,1952,\N,"actor,stunts,producer"
